gauge_id,KGE
camels_01013500,0.69712248
camels_01022500,0.8174783
camels_01030500,-1.19152483
camels_01031500,0.79536549
camels_01047000,0.91661138
camels_01052500,0.73225992
camels_01054200,0.67858036
camels_01055000,0.89474164
camels_01057000,0.91506101
camels_01073000,-1.57231421
camels_01078000,0.87427715
camels_01118300,0.62864651
camels_01121000,0.80248003
camels_01123000,0.81504163
camels_01134500,0.76312987
camels_01137500,0.78700023
camels_01139000,0.78241921
camels_01139800,0.83621814
camels_01142500,0.83362983
camels_01144000,0.84541575
camels_01162500,0.81602303
camels_01169000,0.81386698
camels_01170100,0.8802027
camels_01181000,0.82929445
camels_01187300,0.74811011
camels_01195100,0.60304337
camels_01333000,0.4183985
camels_01350000,0.50274351
camels_01350080,0.74464467
camels_01350140,0.30385644
camels_01365000,0.78534591
camels_01411300,0.65092267
camels_01413500,0.91695281
camels_01414500,0.74661472
camels_01415000,0.82357356
camels_01423000,0.87414498
camels_01434025,0.74055441
camels_01435000,0.79556148
camels_01439500,0.84037384
camels_01440000,0.80100526
camels_01440400,0.77094039
camels_01451800,0.58763807
camels_01466500,0.18126926
camels_01484100,0.60932531
camels_01485500,0.52940409
camels_01486000,0.60008934
camels_01487000,0.70809675
camels_01491000,0.44185902
camels_01510000,0.75096967
camels_01516500,0.69960476
camels_01518862,0.75214057
camels_01532000,0.80775574
camels_01539000,0.8068335
camels_01542810,0.68843022
camels_01543000,0.86371091
camels_01543500,0.91347052
camels_01544500,0.78523746
camels_01545600,0.85144028
camels_01547700,0.79715301
camels_01548500,0.92241782
camels_01549500,0.77224488
camels_01550000,0.82097544
camels_01552000,0.88866134
camels_01552500,0.7095808
camels_01557500,0.82530762
camels_01567500,0.76561993
camels_01568000,0.76054248
camels_01580000,-0.91704909
camels_01583500,0.62728333
camels_01586610,0.24864649
camels_01591400,0.38175242
camels_01594950,0.79800021
camels_01596500,0.6248063
camels_01605500,0.70514279
camels_01606500,0.56450702
camels_01613050,0.7216973
camels_01620500,0.13679427
camels_01632000,0.58965192
camels_01632900,0.56274991
camels_01634500,0.60981752
camels_01638480,0.51210906
camels_01639500,0.58245967
camels_01644000,0.72841653
camels_01658500,0.19565006
camels_01664000,0.54656244
camels_01666500,0.43041187
camels_01667500,0.71804166
camels_01669000,0.41111788
camels_01669520,0.47263781
camels_02011400,0.78783154
camels_02011460,-0.60471622
camels_02013000,0.11960911
camels_02014000,0.76517914
camels_02015700,0.63811611
camels_02016000,0.65908766
camels_02017500,0.5552106
camels_02018000,0.7306018
camels_02027000,0.66674218
camels_02027500,0.64600291
camels_02028500,0.58002209
camels_02038850,0.76587501
camels_02046000,0.3892341
camels_02051000,0.70507007
camels_02051500,0.7483176
camels_02053200,0.0127539
camels_02053800,0.47529376
camels_02055100,0.67177901
camels_02056900,0.81414074
camels_02059500,0.73637167
camels_02064000,0.76400177
camels_02065500,0.8354389
camels_02069700,0.70585681
camels_02070000,0.81651431
camels_02074500,0.67270845
camels_02077200,0.37895996
camels_02081500,0.62981592
camels_02082950,0.67978003
camels_02092500,0.12120676
camels_02096846,0.30741807
camels_02102908,-0.07432854
camels_02108000,0.41547734
camels_02111180,0.5885215
camels_02111500,0.87873092
camels_02112120,0.82130556
camels_02112360,0.80530863
camels_02118500,0.72942271
camels_02125000,0.45245954
camels_02128000,0.58956046
camels_02137727,0.76598114
camels_02140991,0.6181714
camels_02143000,0.62888384
camels_02143040,0.63477303
camels_02149000,0.72182534
camels_02152100,0.71049617
camels_02177000,0.73757713
camels_02178400,0.76202612
camels_02193340,0.29308382
camels_02196000,0.52789513
camels_02198100,0.41696057
camels_02202600,0.1503787
camels_02212600,0.60917845
camels_02215100,0.6226896
camels_02216180,0.4423061
camels_02221525,0.86763717
camels_02231000,-2.30722944
camels_02231342,0.44090002
camels_02235200,-0.5489519
camels_02245500,0.21844751
camels_02246000,-0.03759244
camels_02296500,0.55471975
camels_02297155,0.130239
camels_02297310,0.47368656
camels_02298123,0.48255596
camels_02298608,0.58806866
camels_02299950,0.51850335
camels_02300700,0.0839064
camels_02310947,0.29488977
camels_02312200,0.44025366
camels_02314500,0.364173
camels_02315500,0.56137678
camels_02324400,0.06477386
camels_02327100,-0.07986884
camels_02342933,0.37960079
camels_02349900,0.45279292
camels_02350900,0.65417433
camels_02361000,0.46951727
camels_02363000,0.51659292
camels_02369800,0.46629091
camels_02371500,0.61728752
camels_02372250,0.48296864
camels_02374500,0.75438906
camels_02381600,0.26347515
camels_02384540,0.40363086
camels_02395120,0.31531587
