gauge_id,KGE
camels_01013500,[-0.53579225]
camels_01022500,[0.70056166]
camels_01030500,[0.57320314]
camels_01031500,[0.75697678]
camels_01047000,[0.86326925]
camels_01052500,[0.67540201]
camels_01054200,[0.65902615]
camels_01055000,[0.77381045]
camels_01057000,[0.87837237]
camels_01073000,[0.46943812]
camels_01078000,[0.7985035]
camels_01118300,[0.60581934]
camels_01121000,[0.73568222]
camels_01123000,[0.85329753]
camels_01134500,[0.72470293]
camels_01137500,[0.82077474]
camels_01139000,[0.90826912]
camels_01139800,[0.77415567]
camels_01142500,[0.81424849]
camels_01144000,[0.81266168]
camels_01162500,[0.77156701]
camels_01169000,[0.79136063]
camels_01170100,[0.84460374]
camels_01181000,[0.79123226]
camels_01187300,[0.6675179]
camels_01195100,[0.65082821]
camels_01333000,[0.77911035]
camels_01350000,[0.67868864]
camels_01350080,[0.76719886]
camels_01350140,[0.70264082]
camels_01365000,[0.7018656]
camels_01411300,[0.68358416]
camels_01413500,[0.86673871]
camels_01414500,[0.75445167]
camels_01415000,[0.80697159]
camels_01423000,[0.83812454]
camels_01434025,[0.69094601]
camels_01435000,[0.74619992]
camels_01439500,[0.72904854]
camels_01440000,[0.69778121]
camels_01440400,[0.75590131]
camels_01451800,[0.69976429]
camels_01466500,[-0.4883153]
camels_01484100,[0.54966119]
camels_01485500,[0.4418633]
camels_01486000,[0.58770019]
camels_01487000,[0.74445453]
camels_01491000,[0.41753075]
camels_01510000,[0.73900387]
camels_01516500,[0.66376348]
camels_01518862,[0.69902515]
camels_01532000,[0.70810589]
camels_01539000,[0.77402572]
camels_01542810,[0.67677027]
camels_01543000,[0.79293062]
camels_01543500,[0.83131821]
camels_01544500,[0.74987631]
camels_01545600,[0.82344931]
camels_01547700,[0.76229005]
camels_01548500,[0.87443867]
camels_01549500,[0.63706041]
camels_01550000,[0.76196586]
camels_01552000,[0.86933611]
camels_01552500,[0.71909333]
camels_01557500,[0.74558376]
camels_01567500,[0.71031487]
camels_01568000,[0.63729305]
camels_01580000,[0.76904542]
camels_01583500,[0.55568489]
camels_01586610,[0.66164436]
camels_01591400,[0.47416195]
camels_01594950,[0.75134914]
camels_01596500,[0.6453332]
camels_01605500,[0.53155869]
camels_01606500,[0.68405029]
camels_01613050,[0.63818666]
camels_01620500,[0.32379457]
camels_01632000,[0.59554133]
camels_01632900,[0.72191903]
camels_01634500,[0.54422624]
camels_01638480,[0.56143645]
camels_01639500,[0.64701099]
camels_01644000,[0.71723021]
camels_01658500,[0.28106235]
camels_01664000,[0.51358815]
camels_01666500,[0.72016464]
camels_01667500,[0.69143418]
camels_01669000,[0.57247623]
camels_01669520,[0.52408683]
camels_02011400,[0.42316448]
camels_02011460,[0.40460546]
camels_02013000,[0.35260056]
camels_02014000,[0.8224324]
camels_02015700,[0.66068817]
camels_02016000,[0.72906134]
camels_02017500,[0.67912091]
camels_02018000,[0.69891455]
camels_02027000,[0.77471529]
camels_02027500,[0.51515497]
camels_02028500,[0.57678147]
camels_02038850,[0.66741912]
camels_02046000,[0.58768518]
camels_02051000,[0.62792913]
camels_02051500,[0.70634232]
camels_02053200,[-0.08434494]
camels_02053800,[0.38060923]
camels_02055100,[0.60664083]
camels_02056900,[0.73260056]
camels_02059500,[0.63607586]
camels_02064000,[0.49068192]
camels_02065500,[0.80401976]
camels_02069700,[0.69919616]
camels_02070000,[0.75169393]
camels_02074500,[0.68784778]
camels_02077200,[0.44665007]
camels_02081500,[0.60044935]
camels_02082950,[0.52973814]
camels_02092500,[0.30414418]
camels_02096846,[0.43033673]
camels_02102908,[0.39020763]
camels_02108000,[-0.15163792]
camels_02111180,[0.66454637]
camels_02111500,[0.78980037]
camels_02112120,[0.71369719]
camels_02112360,[0.78707821]
camels_02118500,[0.68237132]
camels_02125000,[0.46302825]
camels_02128000,[0.57060367]
camels_02137727,[0.71877087]
camels_02140991,[0.57402388]
camels_02143000,[0.64811739]
camels_02143040,[0.47344917]
camels_02149000,[0.7318722]
camels_02152100,[0.68242332]
camels_02177000,[0.73890668]
camels_02178400,[0.83121963]
camels_02193340,[0.2805996]
camels_02196000,[-0.55652525]
camels_02198100,[0.4451685]
camels_02202600,[0.24814855]
camels_02212600,[0.06418544]
camels_02215100,[0.59078832]
camels_02216180,[0.47662446]
camels_02221525,[0.74028446]
camels_02231000,[-0.49903142]
camels_02231342,[0.63190496]
camels_02235200,[-0.32348981]
camels_02245500,[0.34227997]
camels_02246000,[0.17559712]
camels_02296500,[0.55285222]
camels_02297155,[0.12568756]
camels_02297310,[0.54757896]
camels_02298123,[0.54398276]
camels_02298608,[0.49039033]
camels_02299950,[0.4799721]
camels_02300700,[0.18461625]
camels_02310947,[0.0060357]
camels_02312200,[0.33589596]
camels_02314500,[-0.80935297]
camels_02315500,[0.50810503]
camels_02324400,[0.44340202]
camels_02327100,[0.00777824]
camels_02342933,[0.44531172]
camels_02349900,[0.549381]
camels_02350900,[0.69081681]
camels_02361000,[0.57390525]
camels_02363000,[0.46883309]
camels_02369800,[0.42625706]
camels_02371500,[0.56555883]
camels_02372250,[0.32228022]
camels_02374500,[0.74141205]
camels_02381600,[0.36804842]
camels_02384540,[0.47380039]
camels_02395120,[0.44415247]
camels_02408540,[0.52335287]
camels_02415000,[0.29982537]
camels_02422500,[0.61256629]
camels_02427250,[0.4877154]
camels_02430085,[0.74663377]
camels_02430615,[0.77366045]
camels_02450250,[0.50158117]
camels_02464000,[0.59018841]
camels_02464146,[0.65188425]
camels_02464360,[0.75855615]
camels_02465493,[0.64554261]
camels_02469800,[0.13629676]
camels_02472000,[0.47917001]
camels_02472500,[0.46328383]
camels_02479155,[0.2505909]
camels_02479300,[0.61321565]
camels_02479560,[0.28256034]
camels_02481000,[0.4892581]
camels_02481510,[0.51026159]
camels_03010655,[0.76911875]
camels_03011800,[0.82080386]
camels_03015500,[0.71278787]
camels_03021350,[0.66423886]
camels_03026500,[0.70820824]
camels_03028000,[0.73707401]
camels_03049000,[-0.10195704]
camels_03049800,[0.04661821]
camels_03050000,[0.56075589]
camels_03066000,[0.51272861]
camels_03069500,[0.64899526]
camels_03070500,[0.70930667]
camels_03076600,[0.75134022]
camels_03078000,[0.75115291]
camels_03140000,[0.56754058]
camels_03144000,[0.63171435]
camels_03159540,[0.60197884]
camels_03161000,[0.76046185]
camels_03164000,[0.63806447]
camels_03165000,[0.63749234]
camels_03170000,[0.51892221]
camels_03173000,[0.66914471]
camels_03180500,[0.69584824]
camels_03182500,[0.46447593]
camels_03186500,[0.69543282]
camels_03187500,[0.62106321]
camels_03213700,[0.63943224]
camels_03237280,[0.60361093]
camels_03237500,[0.49436425]
camels_03238500,[0.63051658]
camels_03241500,[0.69222751]
camels_03280700,[0.60294404]
camels_03281100,[0.63088113]
camels_03281500,[0.60334135]
camels_03285000,[0.50930357]
camels_03291780,[0.6028094]
camels_03300400,[0.52241361]
camels_03338780,[0.407758]
camels_03340800,[0.57049037]
camels_03346000,[0.25307452]
camels_03357350,[0.58723625]
camels_03364500,[0.70865326]
camels_03366500,[0.62215416]
camels_03368000,[0.61041798]
camels_03384450,[0.42407678]
camels_03439000,[0.58251517]
camels_03450000,[0.51974611]
camels_03455500,[0.4771755]
camels_03456500,[0.61981031]
camels_03460000,[0.49630153]
camels_03463300,[0.41491218]
camels_03471500,[0.63460482]
camels_03473000,[0.72902022]
camels_03479000,[0.38898302]
camels_03488000,[0.71919512]
camels_03498500,[0.48153644]
camels_03500000,[0.78110854]
camels_03500240,[0.60649051]
camels_03504000,[0.60656977]
camels_03574500,[0.56484472]
camels_03592718,[0.63008345]
camels_03604000,[0.41280509]
camels_04015330,[0.26195644]
camels_04024430,[0.3777369]
camels_04027000,[0.25141886]
camels_04040500,[0.34862862]
camels_04043050,[0.15770252]
camels_04045500,[-2.9776028]
camels_04056500,[0.178991]
camels_04057510,[0.55811484]
camels_04057800,[0.10602822]
camels_04059500,[0.50647029]
camels_04063700,[0.59620622]
camels_04074950,[0.8071889]
camels_04105700,[-0.35220465]
camels_04115265,[0.65013092]
camels_04122200,[0.59856896]
camels_04122500,[0.83851866]
camels_04124000,[0.45180025]
camels_04127918,[0.56912954]
camels_04127997,[-1.90216603]
camels_04161580,[-0.20009073]
camels_04185000,[0.4563505]
camels_04196800,[0.5793819]
camels_04197100,[0.66621387]
camels_04197170,[0.54347318]
camels_04213000,[0.63342738]
camels_04213075,[0.46345501]
camels_04216418,[0.77446093]
camels_04221000,[0.83464242]
camels_04224775,[0.69528733]
camels_04233000,[0.69497584]
camels_04256000,[0.84724335]
camels_04296000,[0.73639373]
camels_05056000,[0.82172047]
camels_05057000,[0.36265393]
camels_05057200,[-0.13423889]
camels_05062500,[0.34094393]
camels_05087500,[-2.26713352]
camels_05120500,[-0.16180331]
camels_05123400,[-0.18396946]
camels_05129115,[-0.24258866]
camels_05131500,[-1.2004325]
camels_05291000,[0.56683943]
camels_05362000,[0.57668719]
camels_05393500,[0.69285482]
camels_05399500,[-0.03863447]
camels_05408000,[0.40216293]
camels_05412500,[0.59616732]
camels_05413500,[0.50041003]
camels_05414000,[0.54653372]
camels_05444000,[0.60621037]
camels_05454000,[0.45479256]
camels_05458000,[0.43302619]
camels_05466500,[0.62981613]
camels_05487980,[0.64139887]
camels_05488200,[0.53445939]
camels_05489000,[0.51051349]
camels_05495000,[0.33020196]
camels_05495500,[0.50006936]
camels_05501000,[0.03794236]
camels_05503800,[0.20510704]
camels_05507600,[-0.24815072]
camels_05508805,[0.42464717]
camels_05514500,[0.43342622]
camels_05525500,[0.60398753]
camels_05556500,[0.56884947]
camels_05584500,[0.58999941]
camels_05585000,[0.55637664]
camels_05591550,[0.60255793]
camels_05592050,[0.54632337]
camels_05592575,[0.37197123]
camels_05593575,[0.3627702]
camels_05593900,[0.43718714]
camels_05595730,[0.52027973]
camels_06037500,[-1.62790845]
camels_06043500,[0.67005008]
camels_06154410,[-0.11873782]
camels_06188000,[0.72380548]
camels_06191500,[0.63496862]
camels_06221400,[0.49232572]
camels_06224000,[0.4035093]
camels_06278300,[0.44326377]
camels_06280300,[0.82919693]
camels_06289000,[0.61867518]
camels_06291500,[0.45909819]
camels_06311000,[0.59416213]
camels_06332515,[0.2243364]
camels_06339100,[0.26772168]
camels_06339500,[0.59351202]
camels_06344600,[-1.66696972]
camels_06350000,[0.26442986]
camels_06352000,[0.53096887]
camels_06353000,[0.62990413]
camels_06354000,[0.6838202]
camels_06360500,[0.24405927]
camels_06404000,[-2.60258109]
camels_06406000,[-0.12184107]
camels_06408700,[-3.87963708]
camels_06409000,[-4.158797]
camels_06431500,[-0.50111632]
camels_06440200,[-1.22176336]
camels_06441500,[-3.02177154]
camels_06447000,[0.34350976]
camels_06447500,[0.35299228]
camels_06450500,[0.35135907]
camels_06452000,[0.40116326]
camels_06453600,[-2.44478645]
camels_06464500,[0.1488824]
camels_06468170,[0.59626808]
camels_06468250,[0.32601752]
camels_06470800,[0.12612653]
camels_06477500,[0.14866425]
camels_06479215,[0.57313046]
camels_06479438,[0.5441608]
camels_06601000,[0.2668063]
camels_06614800,[0.31147245]
camels_06622700,[0.37920798]
camels_06623800,[0.49906908]
camels_06632400,[0.06780081]
camels_06746095,[0.21138305]
camels_06784000,[-0.15893117]
camels_06803510,[0.45170694]
camels_06803530,[0.5383841]
camels_06814000,[0.67257869]
camels_06847900,[-6.18942605]
camels_06853800,[0.20832927]
camels_06876700,[0.37893277]
camels_06878000,[0.50906823]
camels_06879650,[0.38416854]
camels_06885500,[0.68126854]
camels_06888500,[0.64421447]
camels_06889200,[0.67684449]
camels_06889500,[0.71922774]
camels_06892000,[0.52509611]
camels_06903400,[0.54694752]
camels_06906800,[0.33277056]
camels_06910800,[0.58888548]
camels_06911900,[0.57913993]
camels_06917000,[0.54345723]
camels_06918460,[0.60842442]
camels_06919500,[0.53624123]
camels_06921070,[0.68636931]
camels_06921200,[0.63254097]
camels_06934000,[0.57360307]
camels_07014500,[0.61137282]
camels_07056000,[0.4578018]
camels_07057500,[0.74177477]
camels_07060710,[0.45964223]
camels_07066000,[0.75619498]
camels_07067000,[0.88081754]
camels_07068000,[0.78296212]
camels_07071500,[0.55059501]
camels_07083000,[-0.79895772]
camels_07142300,[-2.80443125]
camels_07145700,[0.25900498]
camels_07148400,[0.56852045]
camels_07149000,[0.35544493]
camels_07151500,[0.47316855]
camels_07167500,[0.41126898]
camels_07180500,[0.44226212]
camels_07184000,[0.44787819]
camels_07195800,[0.53153587]
camels_07196900,[0.40089259]
camels_07197000,[0.62084595]
camels_07208500,[-0.6185641]
camels_07226500,[-2.44198018]
camels_07261000,[0.62207549]
camels_07263295,[0.65302383]
camels_07290650,[0.20822794]
camels_07291000,[0.42504266]
camels_07292500,[0.49242398]
camels_07295000,[0.22270783]
camels_07299670,[0.0346174]
camels_07301410,[0.50123802]
camels_07301500,[0.2929267]
camels_07315200,[0.46491287]
camels_07315700,[0.53471701]
camels_07335700,[0.44997031]
camels_07340300,[0.47076783]
camels_07346045,[0.2453157]
camels_07359610,[0.64468959]
camels_07362100,[0.2706505]
camels_07362587,[0.50236891]
camels_07373000,[0.47749588]
camels_07375000,[0.52376986]
camels_07376000,[0.509247]
camels_08013000,[0.43873338]
camels_08014500,[0.7111561]
camels_08023080,[0.45404127]
camels_08025500,[0.56998111]
camels_08029500,[0.2805234]
camels_08050800,[0.32655767]
camels_08066200,[0.50691668]
camels_08066300,[0.35411777]
camels_08070000,[0.47345187]
camels_08070200,[-0.08823924]
camels_08079600,[-0.11937966]
camels_08082700,[-0.00811781]
camels_08086212,[0.3419822]
camels_08086290,[0.29374582]
camels_08101000,[-1.04350421]
camels_08103900,[0.47075404]
camels_08104900,[0.41524127]
camels_08109700,[0.35412606]
camels_08150800,[-2.47353119]
camels_08155200,[0.52932103]
camels_08158700,[0.69106243]
camels_08158810,[0.01877047]
camels_08164000,[0.25815792]
camels_08164300,[0.32866305]
camels_08164600,[0.25941613]
camels_08165300,[0.14148043]
camels_08171300,[0.61661064]
camels_08175000,[-0.31209634]
camels_08176900,[0.28833677]
camels_08178880,[0.11119588]
camels_08189500,[0.29505116]
camels_08190000,[0.64343206]
camels_08190500,[-4.61023784]
camels_08194200,[-1.41824214]
camels_08195000,[0.39172171]
camels_08196000,[0.66915529]
camels_08198500,[0.13396389]
camels_08200000,[0.32922828]
camels_08202700,[-4.40968833]
camels_08267500,[0.65914294]
camels_08269000,[0.24123572]
camels_08271000,[0.27042617]
camels_08324000,[-0.62124944]
camels_08377900,[0.52130622]
camels_08378500,[0.65221845]
camels_08380500,[-1.21561833]
camels_09034900,[0.30001867]
camels_09035800,[0.24158412]
camels_09035900,[0.87173133]
camels_09047700,[-0.40154566]
camels_09065500,[0.5317494]
camels_09066000,[0.31861396]
camels_09066200,[0.56452924]
camels_09066300,[0.14540726]
camels_09081600,[0.62038979]
camels_09107000,[-0.18507866]
camels_09210500,[0.77781333]
camels_09223000,[0.35169943]
camels_09306242,[-3.91966531]
camels_09312600,[0.64547742]
camels_09352900,[0.7662741]
camels_09378170,[0.40126061]
camels_09378630,[0.38947213]
camels_09386900,[0.12543042]
camels_09404450,[0.35226748]
camels_09430500,[-1.01788642]
camels_09430600,[-2.63795141]
camels_09447800,[-9.65463804]
camels_09480000,[-7.77292327]
camels_09484000,[0.01198604]
camels_09484600,[-2.5234242]
camels_09492400,[0.13421675]
camels_09494000,[0.79752709]
camels_09497800,[-0.27860973]
camels_09497980,[-4.62688166]
camels_09505200,[0.28982802]
camels_09505350,[0.37970576]
camels_09505800,[0.75411076]
camels_09508300,[0.00744616]
camels_09510200,[0.66818448]
camels_09512280,[-0.13138925]
camels_09513780,[0.23793398]
camels_10023000,[-2.16392748]
camels_10166430,[-1.88503044]
camels_10172700,[-1.3149288]
camels_10172800,[-0.08276605]
camels_10173450,[0.39965429]
camels_10205030,[0.46051418]
camels_10234500,[0.25652663]
camels_10242000,[0.20456011]
camels_10244950,[-2.2376982]
camels_10249300,[0.22155448]
camels_10258000,[0.10614333]
camels_10258500,[-2.05153026]
camels_10259000,[0.78270998]
camels_10259200,[-2.41531539]
camels_10263500,[-0.07951717]
camels_10310500,[-10.38348403]
camels_10316500,[0.29273868]
camels_10329500,[-0.10270987]
camels_10336645,[0.76810489]
camels_10336660,[0.21766649]
camels_10336740,[-1.83245349]
camels_10343500,[-0.03736555]
camels_10348850,[0.13715773]
camels_10396000,[0.16050764]
camels_11098000,[0.31319118]
camels_11124500,[0.4547157]
camels_11141280,[0.52385458]
camels_11143000,[0.15687658]
camels_11148900,[0.25401407]
camels_11151300,[-1.48754897]
camels_11162500,[0.47133814]
camels_11176400,[-0.42449009]
camels_11180500,[0.35641154]
camels_11180960,[0.42083072]
camels_11224500,[-4.97339819]
camels_11230500,[0.74483577]
camels_11237500,[0.53149934]
camels_11253310,[-16.72169078]
camels_11264500,[0.79384503]
camels_11266500,[0.83791476]
camels_11274500,[0.05826731]
camels_11274630,[0.410472]
camels_11284400,[-1.91944696]
camels_11299600,[0.33605187]
camels_11381500,[0.53168884]
camels_11383500,[-0.05116621]
camels_11451100,[0.5962828]
camels_11468500,[0.89798258]
camels_11473900,[0.42586612]
camels_11475560,[0.31088249]
camels_11476600,[0.74589942]
camels_11478500,[0.4392127]
camels_11480390,[0.64066255]
camels_11481200,[0.86965136]
camels_11482500,[0.7625034]
camels_11522500,[-0.39227705]
camels_11523200,[0.64835045]
camels_11528700,[-1.47856026]
camels_11532500,[0.77426939]
camels_12010000,[0.57546207]
camels_12013500,[0.54872443]
camels_12020000,[0.81520546]
camels_12025000,[0.66939626]
camels_12025700,[0.81529979]
camels_12035000,[0.81572732]
camels_12040500,[0.72783147]
camels_12041200,[0.30520861]
camels_12043000,[0.42328919]
camels_12048000,[-0.50052436]
camels_12054000,[0.83505394]
camels_12056500,[0.69470052]
camels_12073500,[-0.81877775]
camels_12082500,[-2.4389387]
camels_12092000,[0.48858403]
camels_12095000,[-0.46790694]
camels_12114500,[0.81149172]
camels_12115000,[0.90341618]
camels_12115500,[0.73579139]
camels_12117000,[0.68073866]
camels_12141300,[0.59100619]
camels_12143600,[0.80095844]
camels_12144000,[0.68223207]
camels_12145500,[0.33932363]
camels_12147500,[0.80324021]
camels_12147600,[0.67135528]
camels_12167000,[0.73412899]
camels_12175500,[0.70955851]
camels_12178100,[0.75382278]
camels_12186000,[0.7796994]
camels_12189500,[0.65861168]
camels_12358500,[0.79091363]
camels_12374250,[-0.81625367]
camels_12375900,[0.58822665]
camels_12377150,[-0.00608927]
camels_12381400,[0.56571485]
camels_12383500,[0.49911245]
camels_12388400,[0.1412853]
camels_12390700,[-0.18872104]
camels_12411000,[0.79283841]
camels_12414500,[0.9392542]
camels_12447390,[0.45158325]
camels_12451000,[0.70085136]
camels_12488500,[0.86516836]
camels_13011500,[0.68746027]
camels_13011900,[0.9294952]
camels_13018300,[0.535289]
camels_13023000,[0.83742062]
camels_13083000,[-1.12969546]
camels_13161500,[0.20219452]
camels_13235000,[0.22178963]
camels_13240000,[0.30096258]
camels_13310700,[0.66876043]
camels_13313000,[0.84003741]
camels_13331500,[0.64123595]
camels_13337000,[0.65581432]
camels_13338500,[-1.32276411]
camels_13340000,[0.8469636]
camels_13340600,[0.91941622]
camels_14020000,[0.48157475]
camels_14092750,[-0.27423961]
camels_14096850,[0.02454444]
camels_14137000,[0.78685253]
camels_14138800,[0.73131997]
camels_14138870,[0.68793469]
camels_14138900,[0.6420398]
camels_14139800,[0.82891105]
camels_14141500,[0.92826863]
camels_14154500,[0.39967462]
camels_14158500,[0.48350817]
camels_14158790,[0.55374268]
camels_14166500,[0.78386957]
camels_14182500,[0.92883271]
camels_14185000,[0.61654019]
camels_14185900,[0.80502266]
camels_14187000,[0.23745711]
camels_14216500,[0.86645293]
camels_14222500,[0.68622343]
camels_14236200,[0.87608927]
camels_14301000,[0.80012192]
camels_14303200,[0.73999883]
camels_14305500,[0.64998706]
camels_14306340,[0.55961972]
camels_14306500,[0.81065547]
camels_14308990,[-0.37494453]
camels_14309500,[-2.62659243]
camels_14316700,[-2.68491173]
camels_14325000,[0.60187446]
camels_14362250,[-14.72362202]
camels_14400000,[0.64554285]
