gauge_id,KGE
camels_01013500,0.2035677
camels_01022500,0.26323916
camels_01030500,-0.38487949
camels_01031500,0.82456911
camels_01047000,0.91798452
camels_01052500,0.73359992
camels_01054200,0.61296704
camels_01055000,0.88043274
camels_01057000,0.90172337
camels_01073000,-0.47514654
camels_01078000,0.88660284
camels_01118300,0.65538563
camels_01121000,0.81732963
camels_01123000,0.86122167
camels_01134500,0.85029459
camels_01137500,0.75901645
camels_01139000,0.64230791
camels_01139800,0.77625689
camels_01142500,0.82915791
camels_01144000,0.77647212
camels_01162500,0.80396063
camels_01169000,0.76124458
camels_01170100,0.88553698
camels_01181000,0.81567306
camels_01187300,0.65431333
camels_01195100,0.59068283
camels_01333000,0.00126992
camels_01350000,0.75353052
camels_01350080,0.78600233
camels_01350140,0.78187717
camels_01365000,0.47127086
camels_01411300,0.63773328
camels_01413500,0.87360663
camels_01414500,0.73977331
camels_01415000,0.77787705
camels_01423000,0.79217879
camels_01434025,0.69849223
camels_01435000,0.79069851
camels_01439500,0.55378095
camels_01440000,0.73650257
camels_01440400,0.59753709
camels_01451800,0.32516836
camels_01466500,-1.0114929
camels_01484100,0.62069178
camels_01485500,0.51968214
camels_01486000,0.66959397
camels_01487000,0.80516204
camels_01491000,0.41719059
camels_01510000,0.39746722
camels_01516500,0.70454293
camels_01518862,0.75863713
camels_01532000,0.66143551
camels_01539000,0.72290577
camels_01542810,0.69491254
camels_01543000,0.79940433
camels_01543500,0.78205798
camels_01544500,0.73257968
camels_01545600,0.84593726
camels_01547700,0.6354822
camels_01548500,0.88018087
camels_01549500,0.75688495
camels_01550000,0.7579572
camels_01552000,0.85920402
camels_01552500,0.75967792
camels_01557500,0.7588164
camels_01567500,0.73258793
camels_01568000,0.63070439
camels_01580000,0.7891314
camels_01583500,0.51043784
camels_01586610,0.48731538
camels_01591400,0.57135759
camels_01594950,0.64608145
camels_01596500,0.65668803
camels_01605500,0.60539239
camels_01606500,0.55915517
camels_01613050,0.70654994
camels_01620500,0.33842177
camels_01632000,0.45163855
camels_01632900,0.58341794
camels_01634500,0.50363888
camels_01638480,0.37503415
camels_01639500,0.60799648
camels_01644000,0.3533123
camels_01658500,0.62426316
camels_01664000,0.50603558
camels_01666500,0.76200944
camels_01667500,0.66284883
camels_01669000,0.43670255
camels_01669520,0.38373326
camels_02011400,0.19635408
camels_02011460,-2.54392784
camels_02013000,0.39375898
camels_02014000,0.83442333
camels_02015700,0.41627783
camels_02016000,0.53613327
camels_02017500,0.56829295
camels_02018000,0.75379252
camels_02027000,0.78866865
camels_02027500,0.40323272
camels_02028500,0.7086759
camels_02038850,0.68423961
camels_02046000,0.38065187
camels_02051000,0.601825
camels_02051500,-0.15841197
camels_02053200,-0.39431435
camels_02053800,-0.23035665
camels_02055100,0.54041193
camels_02056900,0.61044172
camels_02059500,0.00414042
camels_02064000,0.56645007
camels_02065500,0.74714915
camels_02069700,0.78097862
camels_02070000,0.69036206
camels_02074500,0.67935213
camels_02077200,0.37422384
camels_02081500,0.6150479
camels_02082950,-0.00862619
camels_02092500,0.34095655
camels_02096846,0.59911011
camels_02102908,0.22194336
camels_02108000,0.23071848
camels_02111180,0.64630072
camels_02111500,0.87525774
camels_02112120,0.82295145
camels_02112360,0.82394448
camels_02118500,0.67152467
camels_02125000,0.45101169
camels_02128000,0.46899622
camels_02137727,0.59374344
camels_02140991,0.54302018
camels_02143000,0.61891817
camels_02143040,0.46052324
camels_02149000,0.7566228
camels_02152100,0.69527011
camels_02177000,0.74714902
camels_02178400,0.81470032
camels_02193340,0.18239406
camels_02196000,-0.72612319
camels_02198100,0.23727058
camels_02202600,0.26616394
camels_02212600,0.61680415
camels_02215100,0.55486312
camels_02216180,-0.29370965
camels_02221525,0.36253551
camels_02231000,-0.09975718
camels_02231342,0.44090002
camels_02235200,-0.16977066
camels_02245500,0.32306685
camels_02246000,0.12000733
camels_02296500,0.55471975
camels_02297155,0.130239
camels_02297310,0.47368656
camels_02298123,0.4811275
camels_02298608,0.58806866
camels_02299950,0.51850335
camels_02300700,0.0839064
camels_02310947,0.29488977
camels_02312200,0.41300586
camels_02314500,0.24941855
camels_02315500,0.55926098
camels_02324400,0.14742313
camels_02327100,-0.07979358
camels_02342933,0.26867366
camels_02349900,0.32000485
camels_02350900,0.62964197
camels_02361000,0.31671996
camels_02363000,0.56657266
camels_02369800,0.42231394
camels_02371500,0.5718986
camels_02372250,0.451538
camels_02374500,0.53463277
camels_02381600,0.61386101
camels_02384540,0.40892957
camels_02395120,0.59817901
camels_02408540,0.61190355
camels_02415000,0.53080654
camels_02422500,0.54278061
camels_02427250,0.49153422
camels_02430085,0.71622434
camels_02430615,-0.13785292
camels_02450250,0.45307239
camels_02464000,0.54372305
camels_02464146,0.69003315
camels_02464360,0.75283859
camels_02465493,0.49446075
camels_02469800,0.47584923
camels_02472000,-0.75205347
camels_02472500,0.44843402
camels_02479155,0.37209238
camels_02479300,0.65499225
camels_02479560,0.38099834
camels_02481000,0.41705576
camels_02481510,0.46453932
camels_03010655,0.75831505
camels_03011800,0.82358566
camels_03015500,0.7485642
camels_03021350,0.65152234
camels_03026500,0.71125884
camels_03028000,0.74326682
camels_03049000,-3.18110601
camels_03049800,-1.35774247
camels_03050000,0.60014988
camels_03066000,0.43867815
camels_03069500,0.52203584
camels_03070500,0.52214599
camels_03076600,0.61765946
camels_03078000,0.73928285
camels_03140000,0.46918082
camels_03144000,0.6290777
camels_03159540,0.51189968
camels_03161000,0.52572186
camels_03164000,-0.76173704
camels_03165000,0.52430232
camels_03170000,0.46840854
camels_03173000,0.43351367
camels_03180500,0.66865858
camels_03182500,-1.95802597
camels_03186500,0.25025208
camels_03187500,0.56101033
camels_03213700,0.69082648
camels_03237280,0.59739349
camels_03237500,0.54213529
camels_03238500,0.30223201
camels_03241500,0.66011006
camels_03280700,0.64442412
camels_03281100,0.53442427
camels_03281500,0.55363373
camels_03285000,0.37730607
camels_03291780,0.5333199
camels_03300400,0.58390971
camels_03338780,0.39904325
camels_03340800,0.58185285
camels_03346000,-0.03522584
camels_03357350,0.53949885
camels_03364500,0.52294605
camels_03366500,0.52345381
camels_03368000,0.6358543
camels_03384450,0.19727591
camels_03439000,0.63588109
camels_03450000,0.41276801
camels_03455500,0.47781306
camels_03456500,0.65658768
camels_03460000,0.4672996
camels_03463300,0.45095972
camels_03471500,0.72349959
camels_03473000,0.74229532
