gauge_id,KGE
camels_01013500,[0.39778555]
camels_01022500,[0.60224692]
camels_01030500,[0.03526983]
camels_01031500,[0.76389163]
camels_01047000,[0.86513886]
camels_01052500,[0.66602323]
camels_01054200,[0.6373026]
camels_01055000,[0.76470356]
camels_01057000,[0.78747493]
camels_01073000,[-0.31737359]
camels_01078000,[0.78551713]
camels_01118300,[0.47674738]
camels_01121000,[0.77297511]
camels_01123000,[0.83452734]
camels_01134500,[0.72428197]
camels_01137500,[0.84749546]
camels_01139000,[0.82406108]
camels_01139800,[0.62008771]
camels_01142500,[0.80488561]
camels_01144000,[0.7226905]
camels_01162500,[0.74101862]
camels_01169000,[0.79774523]
camels_01170100,[0.86546376]
camels_01181000,[0.78529852]
camels_01187300,[0.68866814]
camels_01195100,[0.67248937]
camels_01333000,[0.41541263]
camels_01350000,[0.70199478]
camels_01350080,[0.76254611]
camels_01350140,[0.75813956]
camels_01365000,[0.69222638]
camels_01411300,[0.71142217]
camels_01413500,[0.8237245]
camels_01414500,[0.72430368]
camels_01415000,[0.84039468]
camels_01423000,[0.84758784]
camels_01434025,[0.63519002]
camels_01435000,[0.7152183]
camels_01439500,[0.68544311]
camels_01440000,[0.6231185]
camels_01440400,[0.75928749]
camels_01451800,[0.70780164]
camels_01466500,[-0.46035724]
camels_01484100,[0.60092359]
camels_01485500,[0.48186246]
camels_01486000,[0.63446254]
camels_01487000,[0.76742008]
camels_01491000,[0.43149987]
camels_01510000,[0.73555097]
camels_01516500,[0.65429754]
camels_01518862,[0.73121933]
camels_01532000,[0.67533671]
camels_01539000,[0.76014189]
camels_01542810,[0.67914582]
camels_01543000,[0.79681847]
camels_01543500,[0.84656768]
camels_01544500,[0.70651268]
camels_01545600,[0.77780538]
camels_01547700,[0.74973963]
camels_01548500,[0.86542109]
camels_01549500,[0.72407639]
camels_01550000,[0.75882345]
camels_01552000,[0.83854287]
camels_01552500,[0.74363481]
camels_01557500,[0.76935632]
camels_01567500,[0.69439706]
camels_01568000,[0.62763556]
camels_01580000,[0.78728963]
camels_01583500,[0.53752185]
camels_01586610,[0.68203714]
camels_01591400,[0.43745789]
camels_01594950,[0.74561482]
