Unnamed: 0,gauge_id,KGE_similarity3,KGE_similarity5,KGE_similarity7,KGE_similarity10,KGE_similarity15,KGE_similarity20,KGE_similarity25,KGE_similarity30,KGE_similarity40,KGE_similarity50,KGE_similarity75,KGE_similarity100,KGE_similarity150,KGE_similarity200,KGE_similarity250,KGE_similarity300,KGE_similarity350,KGE_similarity400,KGE_similarity450,KGE_similarity500,KGE_similarity550,KGE_similarity600,KGE_geo3,KGE_geo5,KGE_geo7,KGE_geo10,KGE_geo15,KGE_geo30,KGE_geo40,KGE_geo50,KGE_geo75,KGE_geo100,KGE_geo150,KGE_geo200,KGE_geo250,KGE_geo300,KGE_geo350,KGE_geo400,KGE_geo450,KGE_geo500,KGE_geo550,KGE_geo600,max_kge,max_kge_source_column,max_geo_kge,max_geo_kge_column,max_similarity_kge,max_similarity_kge_column,max_geo_N,max_similarity_N,gauge_lat,gauge_lon,area,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,p_mean,seasonality_FAO_PM,ire_pc_sse,kar_pc_sse,slp_dg_sav,for_pc_sse,cly_pc_sav,snd_pc_sav,dor_pc_pva,KGE_geo20,KGE_geo25
0,1013500,0.64374345,0.64172565,0.61909763,0.2035677,0.58000888,0.30322865,0.29918636,-0.31888064,0.27957118,0.32801068,0.47936212,0.40966481,0.38715262,0.42429978,0.48861084,0.51246113,0.39778555,0.41467778,0.28522473,0.42252124,-0.2946605,-0.46240846,0.65798046,0.74460408,0.52393766,0.69712248,0.67689391,0.21254373,0.14695696,0.45296965,0.18175759,0.29636921,0.22611621,0.33187498,0.3708688,0.2883359,0.37835698,-0.53579225,-0.7570138,-0.7769816,-0.36386054,-0.47116503,0.74460408,KGE_geo5,0.74460408,KGE_geo5,0.64374345,KGE_similarity3,5,3,47.23739,-68.58264,2297.683155,0.4925567,0.37453797,1.1052631,0.047433265,2.8350992,0.586037,3.175454,0.9722518,0.317904714,0.0,41.55010054,88.47957394,8.311524011,55.11938942,0,-0.78393987,-0.52110313
1,1022500,0.64135816,0.5051148,0.26435838,0.26323916,-0.07341561,-0.05532538,0.21517674,0.73837035,0.78174844,0.73777441,0.72577271,0.6542456,0.69477005,0.68447574,0.56900824,0.6035879,0.60224692,0.65769878,0.69278519,0.7095585,0.41961625,0.40378069,0.4442557,0.58159586,0.50064395,0.8174783,0.81723252,0.75881475,0.74172785,0.71105222,0.72015566,0.68480148,0.68116822,0.65652059,0.69458428,0.68401951,0.71218229,0.70056166,0.81466856,0.80868675,0.36151422,0.34965469,0.8174783,KGE_geo10,0.8174783,KGE_geo10,0.78174844,KGE_similarity40,10,40,44.60797,-67.93524,619.1025954,0.5809156,0.3354396,1.0837697,0.056673512,3.2380292,0.6387406,3.2038372,1.187054,0.0,0.0,22.50596625,96.8318423,7.313426013,60.36409263,0,0.71906339,0.56343348
2,1030500,0.42171839,0.51511726,0.4913148,-0.38487949,-0.27684479,-0.46645796,-0.24017521,-0.56242375,-0.92439475,-0.55765788,-0.5881717,0.32385452,0.3202187,0.13384351,0.16445486,-0.12334193,0.03526983,-0.05881235,-0.16093092,0.04003962,-0.0597626,-0.77402692,-1.45834324,-0.87914285,-1.04568393,-1.19152483,-1.5410204,-0.26934059,-0.24863229,0.16969972,0.15517218,0.43815729,0.31922087,0.35864091,0.32542985,0.42891935,0.54887487,0.57320314,-1.45149365,-1.30980476,-0.90824566,-0.71341762,0.57320314,KGE_geo400,0.57320314,KGE_geo400,0.51511726,KGE_similarity5,400,5,45.50097,-68.30596,3666.943011,0.5328785,0.31613037,1.0931232,0.052224502,3.02976,0.61321014,3.1840692,1.1191524,0.15706799,15.69150302,20.63889707,94.61572593,8.365937293,57.09931126,46,-1.53431705,-0.88840331
3,1031500,0.81986956,0.79869931,0.81376263,0.82456911,0.8330708,0.83196917,0.85339594,0.84756717,0.78410368,0.8234082,0.79240568,0.73182522,0.74149495,0.76397484,0.75702175,0.75741943,0.76389163,0.78385447,0.78429036,0.78058073,0.78806649,0.77710495,0.56218667,0.83266221,0.79656939,0.79536549,0.83119867,0.73595385,0.75602496,0.75704155,0.76921322,0.75473806,0.76035134,0.75122963,0.77224897,0.75050192,0.75495636,0.75697678,0.84751025,0.84087262,0.80234253,0.77503349,0.85339594,KGE_similarity25,0.84751025,KGE_geo450,0.85339594,KGE_similarity25,450,25,45.17501,-69.3147,764.8241488,0.51058507,0.3062726,1.093185,0.05379877,3.1493258,0.62361395,3.289056,1.0974476,0.0,42.23846387,38.90418197,98.26403972,8.460359991,56.80997791,0,0.77261189,0.79811156
4,1047000,0.8964054,0.89171432,0.87660382,0.91798452,0.90801186,0.91105677,0.92512091,0.92021768,0.92101884,0.89923897,0.8962875,0.89995943,0.90449093,0.88116078,0.87810392,0.85648153,0.86513886,0.84847061,0.86977218,0.89955381,0.89799523,0.91068384,0.91445047,0.94270001,0.91279749,0.91661138,0.89888012,0.90145563,0.8904416,0.88736644,0.89048655,0.87362143,0.87619224,0.87548422,0.87992766,0.87603698,0.87013439,0.86326925,0.91701014,0.91582843,0.70053979,0.90793725,0.94270001,KGE_geo5,0.94270001,KGE_geo5,0.92512091,KGE_similarity25,5,25,44.8692,-69.9551,902.8950759,0.5015839,0.2990631,1.1004304,0.05249829,3.2397308,0.6262149,3.27561,1.0477401,0.0,24.78496307,67.15941705,98.78248365,8.040633923,58.25731823,0,0.91846224,0.91984003
5,1052500,0.75386945,0.76856334,0.70504491,0.73359992,0.74362744,0.74727969,0.75968803,0.76196935,0.73273593,0.76126129,0.76365387,0.75470002,0.73870982,0.7435379,0.63972722,0.65325419,0.66602323,0.69552021,0.69598979,0.73338793,0.72564793,0.74154742,0.82972691,0.78431644,0.7485768,0.73225992,0.73683673,0.73414816,0.7153082,0.71033698,0.70545787,0.6802565,0.69041688,0.67926937,0.69382005,0.68040247,0.68104659,0.67540201,0.72975934,0.73335749,0.74119609,0.74090746,0.82972691,KGE_geo3,0.82972691,KGE_geo3,0.76856334,KGE_similarity5,3,5,44.87739,-71.05749,395.4449102,0.46201763,0.36840636,1.0780399,0.040657084,2.5159047,0.5197125,3.402069,0.8333295,0.0,0.014329591,88.99312936,99.89969286,8.0,56.0,0,0.74150215,0.7370223
6,1054200,0.68290452,0.61976669,0.62982335,0.61296704,0.55780487,0.6664111,0.57943281,0.66376749,0.68184009,0.66436017,0.59539922,0.65768192,0.56056741,0.6589002,0.64546561,0.65980687,0.6373026,0.64132702,0.65438801,0.61836388,0.62260782,0.62448779,0.67055515,0.69143093,0.69611616,0.67858036,0.68547234,0.67867277,0.6420288,0.64929119,0.66158824,0.67464811,0.66890812,0.67357819,0.66109464,0.66389656,0.65776243,0.65902615,0.62996293,0.61452944,0.22273374,0.58470583,0.69611616,KGE_geo7,0.69611616,KGE_geo7,0.68290452,KGE_similarity3,7,3,44.39044,-70.97964,180.8357826,0.45564178,0.37427166,1.1040725,0.05010267,2.9388244,0.58856946,3.664167,0.8084004,0.0,0.0,124.0,95.0,8.0,57.0,0,0.68352244,0.6679592
7,1055000,0.83820108,0.91417584,0.8612097,0.88043274,0.87509257,0.86685496,0.8846578,0.89837851,0.89171138,0.87626428,0.7166872,0.23467692,0.66950607,0.68328924,0.84812272,0.74513954,0.76470356,0.79774688,0.77516271,0.79056662,0.81810887,0.78335588,0.9198163,0.9150883,0.91364329,0.89474164,0.86210445,0.8409948,0.80677865,0.77664015,0.76950641,0.77854547,0.76867948,0.78491668,0.79292462,0.77606436,0.76933985,0.77381045,0.6910835,0.70897097,0.58954918,0.75859373,0.9198163,KGE_geo3,0.9198163,KGE_geo3,0.91417584,KGE_similarity5,3,5,44.64275,-70.58878,250.4261166,0.51859784,0.38699868,1.0884956,0.050513346,3.1266437,0.6184805,3.1776016,1.0387677,0.0,0.0,88.61481868,98.67314767,8.0,56.32685233,0,0.88558897,0.76726229
8,1057000,0.90460254,0.88636425,0.89553985,0.90172337,0.91974183,0.91068891,0.90573252,0.88373859,0.90423885,0.84662744,0.90110537,0.88716132,0.82292088,0.84678612,0.87694546,0.87751222,0.78747493,0.86219932,0.85658318,0.89135295,0.86000112,0.82394801,0.86602038,0.8632649,0.88536333,0.91506101,0.91225395,0.87873613,0.90415773,0.88289515,0.88900853,0.88094725,0.88822789,0.88362786,0.88087671,0.87780089,0.8803728,0.87837237,0.90265804,0.90858821,0.85847206,0.85641667,0.91974183,KGE_similarity15,0.91506101,KGE_geo10,0.91974183,KGE_similarity15,10,15,44.30399,-70.53968,197.4282636,0.5349173,0.31028125,1.1042781,0.05653662,3.3839254,0.64551675,3.2692704,1.1176745,0.0,54.33656282,67.212435,100.0,9.0,57.74836674,0,0.65806233,0.89162675
9,1073000,-0.14237507,0.23793953,-0.63847816,-0.47514654,-0.72279561,-1.47729216,-1.54836335,-1.76052741,-0.61886622,-1.01503675,0.33644737,0.48846477,0.56461174,-0.24185574,0.44082778,0.02041682,-0.31737359,-0.04637575,-0.11814254,0.00199524,-0.27688067,-1.44249147,-0.98219347,-1.22265825,-1.53740249,-1.57231421,-1.72032622,-0.94708512,-0.00016781,0.14174839,0.26876335,0.53880427,0.4812495,0.3380586,0.36947054,0.36152618,0.40924661,0.46943812,0.16380258,-1.62930302,-1.51374762,-1.5391621,0.56461174,KGE_similarity150,0.53880427,KGE_geo100,0.56461174,KGE_similarity150,100,150,43.1487,-70.96506,32.10700315,0.62472624,0.24460042,1.1018276,0.05776865,3.4120781,0.6574264,3.1939466,1.1456232,0.0,0.0,17.241375,89.98440788,6.95859175,60.33834051,31,-1.64500697,-1.70965799
