gauge_id,gauge_lat,gauge_lon,area,aridity_FAO_PM,frac_snow,high_prec_dur,high_prec_freq,low_prec_dur,low_prec_freq,p_mean,seasonality_FAO_PM,ire_pc_sse,kar_pc_sse,slp_dg_sav,for_pc_sse,cly_pc_sav,snd_pc_sav,dor_pc_pva
camels_01013500,47.23739,-68.58264,2297.683155,0.4925567,0.37453797,1.1052631,0.047433265,2.8350992,0.586037,3.175454,0.9722518,0.317904714,0.0,41.55010054,88.47957394,8.311524011,55.11938942,0
camels_01022500,44.60797,-67.93524,619.1025954,0.5809156,0.3354396,1.0837697,0.056673512,3.2380292,0.6387406,3.2038372,1.187054,0.0,0.0,22.50596625,96.8318423,7.313426013,60.36409263,0
camels_01030500,45.50097,-68.30596,3666.943011,0.5328785,0.31613037,1.0931232,0.052224502,3.02976,0.61321014,3.1840692,1.1191524,0.15706799,15.69150302,20.63889707,94.61572593,8.365937293,57.09931126,46
camels_01031500,45.17501,-69.3147,764.8241488,0.51058507,0.3062726,1.093185,0.05379877,3.1493258,0.62361395,3.289056,1.0974476,0.0,42.23846387,38.90418197,98.26403972,8.460359991,56.80997791,0
camels_01047000,44.8692,-69.9551,902.8950759,0.5015839,0.2990631,1.1004304,0.05249829,3.2397308,0.6262149,3.27561,1.0477401,0.0,24.78496307,67.15941705,98.78248365,8.040633923,58.25731823,0
camels_01052500,44.87739,-71.05749,395.4449102,0.46201763,0.36840636,1.0780399,0.040657084,2.5159047,0.5197125,3.402069,0.8333295,0.0,0.014329591,88.99312936,99.89969286,8.0,56.0,0
camels_01054200,44.39044,-70.97964,180.8357826,0.45564178,0.37427166,1.1040725,0.05010267,2.9388244,0.58856946,3.664167,0.8084004,0.0,0.0,124.0,95.0,8.0,57.0,0
camels_01055000,44.64275,-70.58878,250.4261166,0.51859784,0.38699868,1.0884956,0.050513346,3.1266437,0.6184805,3.1776016,1.0387677,0.0,0.0,88.61481868,98.67314767,8.0,56.32685233,0
camels_01057000,44.30399,-70.53968,197.4282636,0.5349173,0.31028125,1.1042781,0.05653662,3.3839254,0.64551675,3.2692704,1.1176745,0.0,54.33656282,67.212435,100.0,9.0,57.74836674,0
camels_01073000,43.1487,-70.96506,32.10700315,0.62472624,0.24460042,1.1018276,0.05776865,3.4120781,0.6574264,3.1939466,1.1456232,0.0,0.0,17.241375,89.98440788,6.95859175,60.33834051,31
camels_01078000,43.56646,-71.74786,221.5612851,0.58510786,0.30750996,1.1105121,0.056399725,3.2602885,0.6344285,3.128184,1.0771906,0.0,0.0,68.0,100.0,7.0,58.0,0
