gauge_id,KGE_similarity3,KGE_similarity5,KGE_similarity7,KGE_similarity10,KGE_similarity15,KGE_similarity20,KGE_similarity25,KGE_similarity30,KGE_similarity40,KGE_similarity50,KGE_similarity75,KGE_similarity100,KGE_similarity150,KGE_similarity200,KGE_similarity250,KGE_similarity300,KGE_similarity350,KGE_similarity400,KGE_similarity450,KGE_similarity500,KGE_similarity550,KGE_similarity600,gauge_lon,gauge_lat,max_KGE
camels_01013500,0.64374345,0.64172565,0.61909763,0.2035677,0.58000888,0.30322865,0.29918636,-0.31888064,0.27957118,0.32801068,0.47936212,0.40966481,0.38715262,0.42429978,0.48861084,0.51246113,0.39778555,0.41467778,0.28522473,0.42252124,-0.2946605,-0.46240846,-68.58264,47.23739,47.23739
camels_01022500,0.64135816,0.5051148,0.26435838,0.26323916,-0.07341561,-0.05532538,0.21517674,0.73837035,0.78174844,0.73777441,0.72577271,0.6542456,0.69477005,0.68447574,0.56900824,0.6035879,0.60224692,0.65769878,0.69278519,0.7095585,0.41961625,0.40378069,-67.93524,44.60797,44.60797
camels_01030500,0.42171839,0.51511726,0.4913148,-0.38487949,-0.27684479,-0.46645796,-0.24017521,-0.56242375,-0.92439475,-0.55765788,-0.5881717,0.32385452,0.3202187,0.13384351,0.16445486,-0.12334193,0.03526983,-0.05881235,-0.16093092,0.04003962,-0.0597626,-0.77402692,-68.30596,45.50097,45.50097
camels_01031500,0.81986956,0.79869931,0.81376263,0.82456911,0.8330708,0.83196917,0.85339594,0.84756717,0.78410368,0.8234082,0.79240568,0.73182522,0.74149495,0.76397484,0.75702175,0.75741943,0.76389163,0.78385447,0.78429036,0.78058073,0.78806649,0.77710495,-69.3147,45.17501,45.17501
camels_01047000,0.8964054,0.89171432,0.87660382,0.91798452,0.90801186,0.91105677,0.92512091,0.92021768,0.92101884,0.89923897,0.8962875,0.89995943,0.90449093,0.88116078,0.87810392,0.85648153,0.86513886,0.84847061,0.86977218,0.89955381,0.89799523,0.91068384,-69.9551,44.8692,44.8692
camels_01052500,0.75386945,0.76856334,0.70504491,0.73359992,0.74362744,0.74727969,0.75968803,0.76196935,0.73273593,0.76126129,0.76365387,0.75470002,0.73870982,0.7435379,0.63972722,0.65325419,0.66602323,0.69552021,0.69598979,0.73338793,0.72564793,0.74154742,-71.05749,44.87739,44.87739
camels_01054200,0.68290452,0.61976669,0.62982335,0.61296704,0.55780487,0.6664111,0.57943281,0.66376749,0.68184009,0.66436017,0.59539922,0.65768192,0.56056741,0.6589002,0.64546561,0.65980687,0.6373026,0.64132702,0.65438801,0.61836388,0.62260782,0.62448779,-70.97964,44.39044,44.39044
camels_01055000,0.83820108,0.91417584,0.8612097,0.88043274,0.87509257,0.86685496,0.8846578,0.89837851,0.89171138,0.87626428,0.7166872,0.23467692,0.66950607,0.68328924,0.84812272,0.74513954,0.76470356,0.79774688,0.77516271,0.79056662,0.81810887,0.78335588,-70.58878,44.64275,44.64275
camels_01057000,0.90460254,0.88636425,0.89553985,0.90172337,0.91974183,0.91068891,0.90573252,0.88373859,0.90423885,0.84662744,0.90110537,0.88716132,0.82292088,0.84678612,0.87694546,0.87751222,0.78747493,0.86219932,0.85658318,0.89135295,0.86000112,0.82394801,-70.53968,44.30399,44.30399
camels_01073000,-0.14237507,0.23793953,-0.63847816,-0.47514654,-0.72279561,-1.47729216,-1.54836335,-1.76052741,-0.61886622,-1.01503675,0.33644737,0.48846477,0.56461174,-0.24185574,0.44082778,0.02041682,-0.31737359,-0.04637575,-0.11814254,0.00199524,-0.27688067,-1.44249147,-70.96506,43.1487,43.1487
